date,url,caption
2025-11-25,https://instagram.com/p/DRdk404kyhv,"📢 Giveaway Alert!

🎉 CS-Related Competitions has reached 13.000 followers! 🎉 

To celebrate this milestone, we are giving away 3 prizes!

🎁 Laptop Backpack
Limited-edition, from Olimpiade Sains Nasional (OSN) 2025 🇮🇩
*Donated by A****** M*****, thanks bro

🎁 Insulated Mug with Lid 
Limited-edition, from the 2025 International Collegiate Programming Contest (ICPC) World Finals held in Azerbaijan 🇦🇿

🎁 Metal Keychain
Limited-edition, from the European Girls Olympiad in Informatics (EGOI) 2024 held in the Netherlands 🇳🇱

Details:
- Shipping is included in the giveaway.
- All winners will also get a plain notebook from @csrelatedcompetitions.
- All merchandise is brand new and official from the competition (not sponsored)

✨ How to enter (for Indonesian residents only), get 1 entry:
1. Follow @csrelatedcompetitions
2. Like this post ♥️
3. Tag two (or more) friends in the comments
4. Answer (in English or bahasa Indonesia): 

❝❝❝
What Computer Science competition field do you usually join, and why?
❞❞❞
- Don't use chatgpt, use your own words 🥹

Bonus (optional, +1 entry): Participate in any competition, repost the poster in your story  and tag @csrelatedcompetitions

🏆 Winners will be chosen randomly with TRNG, so entries will have the same chance of winning. 

🗓️ Timeline
Entry deadline: 7 Dec 2025, 23:59 UTC+7
Announcement: 14 Dec 2025 (tentative)

Good luck!

--

Disclaimer: This giveaway is not affiliated with Instagram or the aforementioned competitions/events. This giveaway is meant to be for fun only."
2025-12-09,https://instagram.com/p/DSBr6pIk5w7,"The annual event from ISC IDN Akhwat yang kalian tunggu-tunggu... AKHIRNYA DATANG LAGI! ICOMFEST 2026 is here!

Masih dengan vibe Nusantara berbalut teknologi masa depan - siap mengguncang dunia inovasi!

Tema: Digitalizing Heritage: Menghidupkan Adat Lama di Dunia Baru

ICOMFEST 2026 menyalakan kembali semangat budaya lewat kreativitas dan kecerdasan digital generasi muda. Dari akar tradisi menuju dunia virtual yang penuh kemungkinan!

Kategori Lomba:

-UI/UX Design

-Website Development

-Robotic Creative

-Poster Design

-Scratch

-Storytelling

-MHQ

Jangan lewatkan pameran proyek inovatif siswa-siswi IDN Boarding School Akhwat - di mana teknologi jadi jembatan untuk menghidupkan adat lama di dunia baru.

Tahun ini, kita mau buktiin kalau akhwat nggak cuma bisa berkarya... tapi bisa memimpin, berinovasi, dan bawa budaya ke level yang lebih modern!

Let's show the world: Akhwat juga bisa keren, kreatif, dan impactful!

Ayo gabung sebelum kehabisan slot!

Kunjungi link berikut = https://s.id/icomfest26"
2025-12-04,https://instagram.com/p/DR0u-QjE1U2,"🔐 INFENTRA CTF COMPETITION 2025 🔐

Tunjukkan keahlianmu dalam keamanan siber, pecahkan puzzle kriptografi, temukan kerentanan sistem, dan rebut FLAG untuk menjadi juara nasional!

📝  Kategori Soal: Forensic, Web Exploitation, Cryptography, Pwn, Reverse Engineering, AI, Misc

 ⚔️ Sistem Lomba: Jeopardy (Penyisihan) & CBC (Final)

 📍 Pelaksanaan: Online & Platform CTFd

📅 Timeline:

 Gelombang I: 16 – 29 Nov 2025

 Gelombang II: 30 Nov – 11 Des 2025

 Technical Meeting: 12 Des 2025

 Babak Penyisihan: 13 Des 2025

 Write-Up Submission: 14 Des 2025

 Pengumuman Finalis: 15 Des 2025

 Final Round: 20 Des 2025

💰 HTM:

 Batch I: Rp50.000 / tim

 Batch II: Rp75.000 / tim

👥 Peserta: Mahasiswa/i seluruh Indonesia

Daftar Sekarang:

 🔗 infentra2025.com

Link Rulebook:

  🔗 bit.ly/RulebookCTFInfentra2025

📩 Pembayaran

Dana : 082280600238 (Siti madina Halim Siregar)

BRI : 534001025013530 (Siti Madina Halim Siregar)

Sea Bank : 901830369343 (Siti Madina Halim Siregar)

📞 Info lebih lanjut:

 Nafila Setyani (0821379788083)"
2025-12-14,https://instagram.com/p/DSOzq4rk3bF,"[GARENA GAME JAM 3: REINVENT THE GAME]

Garena Game Jam 3 is officially open. It’s your turn to Reinvent the Game.

Key Details
• Registration Period: 5–19 Dec 2025
• Announcement of Accepted Participants (via email): 2 Jan 2026
• Main Event Dates: 6–8 Feb 2026
• Venue: Binus University Jakarta
• Prizes: Rp 30 million + opportunity to attend game event like IGDX* (*T&Cs apply)

How to Participate
1. Fill out the registration form (solo or team of up to 4)
2. Wait for the acceptance email on 2 Jan 2026
3. Get ready for an incredible weekend of game development

See you in Jakarta, let's reinvent the game together!

#gamejam #hackathonindonesia #garena #lombait #garenagamejam"
2025-12-14,https://instagram.com/p/3787191574871667741,
2025-12-14,https://instagram.com/p/3787191574737423671,
2025-12-14,https://instagram.com/p/DSOynrbk6aN,"🌍 Prog{r}amming 8.2 is BACK! 🌿

Prog{r}amming 8.2 membawakan National Competition for a Sustainable Future 🌿
Prog{r}amming 8.2 merupakan ajang perlombaan yang diadakan dibawah naungan STEM Innovation Student Organization (SISO) Universitas Prasetiya Mulya. Saatnya tunjukkan kreativitasmu untuk bumi! Lewat kompetisi ini, kamu ditantang merancang solusi digital bertema “Save The Earth"". 

Pilih kategorimu:
💻 UI/UX Competition
Peserta: SMA/Sederajat & Mahasiswa (Tim 3-5 orang)
💰Biaya: Rp100k / kelompok (Batch 1) | Rp120k / kelompok (Batch 2)
🔗 Daftar: bit.ly/PendaftaranUIUXCompe
📖 Guidebook: bit.ly/GuidebookUIUXCompe
🗓 Timeline Pendaftaran:
1️⃣ Gelombang I: 24 Nov - 8 Des 2025
2️⃣ Gelombang II: 9 Des 2025 - 3 Jan 2026

🎮 Scratch Competition
Peserta: SD (Kls 4-6) & SMP (Kls 1) (Individu)
💰Biaya: Rp50k (Batch 1) | Rp75k (Batch 2)
🔗 Daftar: bit.ly/PendaftaranSratchCompe
📖 Guidebook: bit.ly/GuidebookScratchCompe
🗓 Timeline Pendaftaran:
1️⃣ Gelombang I: 24 Nov - 8 Des 2025
2️⃣ Gelombang II: 9 Des 2025 - 3 Jan 2026
Yuk, asah kreativitas dan berikan dampak positif! 🏆

Follow our official accounts!
TikTok & Instagram: @programming8.0

📞 Contact Person:
Joey (UI/UX): 081282276837
Windy (Scratch): 085762799253"
2025-12-14,https://instagram.com/p/3787186957186216872,
2025-12-14,https://instagram.com/p/3787186957194611937,
2025-12-14,https://instagram.com/p/DSOyJy-E6Tr,"Panggilan buat semua pelajar! 📢 Saatnya tunjukkin skillmu di kompetisi AI Regional pertama khusus pelajar! 

Yuk bentuk skuadmu sekarang dan siapin aplikasi Gemini-mu buat #GeminiArena 🚀

#GeminiArena #GeminiSEA"
